CREATE TABLE USERS (username varchar(255) PRIMARY KEY,password varchar(255),homeroom int,userlevel int,desc varchar(255),magicpoints int,staminapoints int,experiencepoints int,gender varchar(255),race varchar(255),class varchar(255),flags int);
INSERT INTO USERS VALUES ("test","teH0wLIpW0gyQ",1,1, "Test User",0,1000, 0,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("system","sy.AqC0U7RJpw",1,12,"System administrator",99999,99999,99999,"male","Human","Warrior",0);
INSERT INTO USERS VALUES ("baduser","baQdv.vyYwMNs",1,1, "Evil User",0,1000, 0,"male","Human","Warrior",0);

CREATE TABLE INVENTORY (name varchar(255) primary key,description varchar(255),attributes int,owner varchar(255));
INSERT INTO INVENTORY VALUES ("sword","A rusty sword",0,"test");
INSERT INTO INVENTORY VALUES ("torch","A unlit torch",0,"test");
INSERT INTO INVENTORY VALUES ("goldbar","A bar of gold",0,"test");
INSERT INTO INVENTORY VALUES ("goblet","A goblet",0,"system");
INSERT INTO INVENTORY VALUES ("matches","A box of matches",0,"system");
INSERT INTO INVENTORY VALUES ("goldcoin","A gold coin",0,"system");

CREATE TABLE RACES (name varchar(255) PRIMARY KEY,magic int,strength int,agility int,dexterity int,luck int,wisdom int,intelligence int,stamina int);
INSERT INTO RACES VALUES ("Human",12,12,12,6,0,8,10,100);
INSERT INTO RACES VALUES ("Dwarf",10,11,8,10,0,6,12,200);
INSERT INTO RACES VALUES ("Elf",12,15,14,12,12,18,6,300);
INSERT INTO RACES VALUES ("Halfling",8,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Sprite",6,10,15,10,10,12,5,20);
INSERT INTO RACES VALUES ("Orc",2,2,1,5,0,2,20,300);
INSERT INTO RACES VALUES ("Centaur",14,14,7,10,12,12,10,100);
INSERT INTO RACES VALUES ("WolfMan",10,7,9,7,0,8,11,110);
INSERT INTO RACES VALUES ("Dwarf",10,8,12,6,0,8,10,50);
INSERT INTO RACES VALUES ("Halfling",6,6,6,6,0,6,6,120);
INSERT INTO RACES VALUES ("Gnome",12,11,10,7,0,7,7,40);
INSERT INTO RACES VALUES ("Half-Giant",8,4,2,5,0,2,14,250);

CREATE TABLE CLASSES (name varchar(255) PRIMARY KEY);
INSERT INTO CLASSES VALUES ("Warrior");
INSERT INTO CLASSES VALUES ("Thief");
INSERT INTO CLASSES VALUES ("Mage");
INSERT INTO CLASSES VALUES ("Cleric");
INSERT INTO CLASSES VALUES ("Ranger");
INSERT INTO CLASSES VALUES ("Paladin");
INSERT INTO CLASSES VALUES ("Psionic");
INSERT INTO CLASSES VALUES ("Barbarian");
INSERT INTO CLASSES VALUES ("Hero");

CREATE TABLE BANS (ipaddress varchar(255) PRIMARY KEY,reason varchar(255));
INSERT INTO BANS VALUES("6.6.6.6","Test ban");

CREATE TABLE GENERATABLEOBJECTS (name varchar(255) PRIMARY KEY,description varchar(255),attackpoints int,generateprob int,staminapoints int,magicpoints int,attributes int,verb varchar(255),verbmessage varchar(255));
INSERT INTO GENERATABLEOBJECTS VALUES("bottle","A bottle of potion,drink labelled 'drink me'",100,20,100,0,0,"drink","You drink the potion and suddenly shrink");
INSERT INTO GENERATABLEOBJECTS VALUES("apple","An apple",0,50,300,0,0,"eat","You eat the apple and suddenly realize you are naked");
INSERT INTO GENERATABLEOBJECTS VALUES("pie","A pie",10,0,100,2,0,"eat","You eat the pie and belch");
INSERT INTO GENERATABLEOBJECTS VALUES("grapes","A bunch of grapes",10,0,100,2,0,"eat","You eat the grapes and hiccup");
INSERT INTO GENERATABLEOBJECTS VALUES("almonds","A bag of almonds",10,0,100,2,0,"eat","You eat the almonds and puke");
INSERT INTO GENERATABLEOBJECTS VALUES("jug","A jug of water",10,0,100,2,"drink",0,"You drink the jug of water and feel refreshed");

CREATE TABLE SPELLS (name varchar(255) PRIMARY KEY,spellpoints int,damage int,message varchar(255),level int,class varchar(255));
INSERT INTO SPELLS VALUES("staves",50,67,"casts a staves spell",7,"warrior");
INSERT INTO SPELLS VALUES("wands",50,67,"casts a wands spell",7,"warrior");
INSERT INTO SPELLS VALUES("dagger",20,20,"casts a agger spell",0,"thief");
INSERT INTO SPELLS VALUES("kobold stench",2,0,"0",casts a bold stench spell,"0");
INSERT INTO SPELLS VALUES("whip",20,1,"casts a ip spell",0,"thief");
INSERT INTO SPELLS VALUES("kick",10,20,"casts a ck spell",0,"thief");
INSERT INTO SPELLS VALUES("circle",2,3,"casts a rcle spell",0,"thief");
INSERT INTO SPELLS VALUES("mace",2,3,"casts a ace spell",0,"thief");
INSERT INTO SPELLS VALUES("burnt marbu",3,5,"casts a urnt marbu spell",0,"thief");
INSERT INTO SPELLS VALUES("steal",4,6,"casts a teal spell",0,"thief");
INSERT INTO SPELLS VALUES("parry",5,7,"casts a arry spell",0,"thief");
INSERT INTO SPELLS VALUES("backstab",5,7,"casts a ackstab spell",0,"thief");
INSERT INTO SPELLS VALUES("refresh",6,8,"casts a efresh spell",0,"thief");
INSERT INTO SPELLS VALUES("dirt kicking",6,8,"casts a irt kicking spell",0,"thief");
INSERT INTO SPELLS VALUES("second attack",6,8,"casts a econd attack spell",0,"thief");
INSERT INTO SPELLS VALUES("detect magic",6,8,"casts a etect magic spell",0,"thief");
INSERT INTO SPELLS VALUES("detect hidden",6,9,"casts a etect hidden spell",1,"thief");
INSERT INTO SPELLS VALUES("detect invis",7,9,"casts a etect invis spell",1,"thief");
INSERT INTO SPELLS VALUES("dual wield",7,9,"casts a ual wield spell",1,"thief");
INSERT INTO SPELLS VALUES("sense anger",7,9,"casts a ense anger spell",1,"thief");
INSERT INTO SPELLS VALUES("scrolls",7,9,"casts a crolls spell",1,"thief");
INSERT INTO SPELLS VALUES("black root",7,10,"casts a lack root spell",1,"thief");
INSERT INTO SPELLS VALUES("peek",7,10,"casts a eek spell",1,"thief");
INSERT INTO SPELLS VALUES("vitality",8,10,"casts a itality spell",1,"thief");
INSERT INTO SPELLS VALUES("trip",8,11,"casts a rip spell",1,"thief");
INSERT INTO SPELLS VALUES("envenom9",12,casts a nvenom spell,"1",thief,"");
INSERT INTO SPELLS VALUES("hand to hand",9,13,"casts a and to hand spell",1,"thief");
INSERT INTO SPELLS VALUES("scorpion sting",10,13,"casts a corpion sting spell",1,"thief");
INSERT INTO SPELLS VALUES("hunt",14,casts a unt spell,"1",thief,"");
INSERT INTO SPELLS VALUES("enhanced damage",11,15,"casts a nhanced damage spell",1,"thief");
INSERT INTO SPELLS VALUES("third attack",11,15,"casts a hird attack spell",1,"thief");
INSERT INTO SPELLS VALUES("pass door",,12,"16",casts a ass door spell,"1");
INSERT INTO SPELLS VALUES("hydra blood",12,17,"casts a ydra blood spell",1,"thief");
INSERT INTO SPELLS VALUES("meditation",13,17,"casts a editation spell",1,"thief");
INSERT INTO SPELLS VALUES("fire",14,18,"casts a ire spell",2,"thief");
INSERT INTO SPELLS VALUES("cobra bane",15,21,"casts a cobra bane spell",2,"thief");
INSERT INTO SPELLS VALUES("charm person",16,22,"casts a harm person spell",2,"thief");
INSERT INTO SPELLS VALUES("enhanced backstab",17,23,"casts a nhanced backstab spell",2,"thief");
INSERT INTO SPELLS VALUES("raven scourge",18,25,"casts a aven scourge spell",2,"thief");
INSERT INTO SPELLS VALUES("slit",19,25,"casts a lit spell",2,"thief");
INSERT INTO SPELLS VALUES("green death",22,29,"casts a reen death spell",3,"thief");
INSERT INTO SPELLS VALUES("purify",22,30,"casts a urify spell",3,"thief");
INSERT INTO SPELLS VALUES("kspray",22,30,"casts a spray spell",3,"thief");
INSERT INTO SPELLS VALUES("herbal remedy",25,33,"casts a herbal remedy spell",3,"thief");
INSERT INTO SPELLS VALUES("web",26,35,"casts a web spell",3,"thief");
INSERT INTO SPELLS VALUES("unlawful entry",27,37,"casts a unlawful entry spell",4,"thief");
INSERT INTO SPELLS VALUES("strangle",28,38,"casts a strangle spell",4,"thief");
INSERT INTO SPELLS VALUES("aim",28,38,"casts a aim spell",4,"thief");
INSERT INTO SPELLS VALUES("vaccinate",29,39,"casts a vaccinate spell",4,"thief");
INSERT INTO SPELLS VALUES("dissolve",30,40,"casts a dissolve spell",4,"thief");
INSERT INTO SPELLS VALUES("conceal",31,42,"casts a conceal spell",4,"thief");
INSERT INTO SPELLS VALUES("marbu",32,43,"casts a marbu spell",4,"thief");
INSERT INTO SPELLS VALUES("second attack dual",33,44,"casts a second attack dual spell",4,"thief");
INSERT INTO SPELLS VALUES("rejuvenate",34,45,"casts a rejuvenate spell",5,"thief");
INSERT INTO SPELLS VALUES("retreat",35,47,"casts a retreat spell",5,"thief");
INSERT INTO SPELLS VALUES("sweep",36,48,"casts a sweep spell",5,"thief");
INSERT INTO SPELLS VALUES("camp",37,49,"casts a camp spell",5,"thief");
INSERT INTO SPELLS VALUES("balor spittle",37,50,"casts a balor spittle spell",5,"thief");
INSERT INTO SPELLS VALUES("survey",38,50,"casts a survey spell",5,"thief");
INSERT INTO SPELLS VALUES("assassinate",38,51,"casts a assassinate spell",5,"thief");
INSERT INTO SPELLS VALUES("toxic resistance",39,52,"casts a toxic resistance spell",5,"thief");
INSERT INTO SPELLS VALUES("spy",40,54,"casts a spy spell",6,"thief");
INSERT INTO SPELLS VALUES("third attack dual",42,56,"casts a third attack dual spell",6,"thief");
INSERT INTO SPELLS VALUES("create poultice",43,58,"casts a create poultice spell",6,"thief");
INSERT INTO SPELLS VALUES("spiral",45,60,"casts a spiral spell",6,"thief");
INSERT INTO SPELLS VALUES("gate",50,67,"casts a gate spell",7,"thief");
INSERT INTO SPELLS VALUES("locate object",50,67,"casts a locate object spell",7,"thief");
INSERT INTO SPELLS VALUES("sanctuary",50,67,"casts a sanctuary spell",7,"thief");
INSERT INTO SPELLS VALUES("summon",50,67,"casts a summon spell",7,"thief");
INSERT INTO SPELLS VALUES("locate animal",50,67,"casts a locate animal spell",7,"thief");
INSERT INTO SPELLS VALUES("locate corpse",50,67,"casts a locate corpse spell",7,"thief");
INSERT INTO SPELLS VALUES("staves",50,67,"casts a staves spell",7,"thief");
INSERT INTO SPELLS VALUES("wands",50,67,"casts a wands spell",7,"thief");
INSERT INTO SPELLS VALUES("magic missile",1,0,"0",casts a agic missile spell,"0");
INSERT INTO SPELLS VALUES("dagger",1,0,"0",casts a gger spell,"0");
INSERT INTO SPELLS VALUES("spear",1,0,"0",casts a ear spell,"0");
INSERT INTO SPELLS VALUES("blink",1,0,"0",casts a ink spell,"0");
INSERT INTO SPELLS VALUES("recall",1,0,"0",casts a call spell,"0");
INSERT INTO SPELLS VALUES("exotic",1,0,"0",casts a otic spell,"0");
INSERT INTO SPELLS VALUES("scrolls",2,0,"0",casts a rolls spell,"0");
INSERT INTO SPELLS VALUES("shield",3,0,"1",casts a ield spell,"0");
INSERT INTO SPELLS VALUES("staves",3,0,"1",casts a aves spell,"0");
INSERT INTO SPELLS VALUES("wands",3,0,"1",casts a nds spell,"0");
INSERT INTO SPELLS VALUES("chill touch",1,1,"casts a ill touch spell",0,"mage");
INSERT INTO SPELLS VALUES("continual light",1,1,"casts a ntinual light spell",0,"mage");
INSERT INTO SPELLS VALUES("whip",1,1,"casts a ip spell",0,"mage");
INSERT INTO SPELLS VALUES("detect invisibility",1,2,"casts a tect invisibility spell",0,"mage");
INSERT INTO SPELLS VALUES("detect magic",1,2,"casts a tect magic spell",0,"mage");
INSERT INTO SPELLS VALUES("sleep",1,2,"casts a eep spell",0,"mage");
INSERT INTO SPELLS VALUES("underwater breathing",1,2,"casts a derwater breathing spell",0,"mage");
INSERT INTO SPELLS VALUES("infravision",2,2,"casts a fravision spell",0,"mage");
INSERT INTO SPELLS VALUES("burning hands",2,3,"casts a rning hands spell",0,"mage");
INSERT INTO SPELLS VALUES("blur",2,3,"casts a ur spell",0,"mage");
INSERT INTO SPELLS VALUES("spook",2,3,"casts a ook spell",0,"mage");
INSERT INTO SPELLS VALUES("faerie fire",2,3,"casts a aerie fire spell",0,"mage");
INSERT INTO SPELLS VALUES("avoidance",3,5,"casts a voidance spell",0,"mage");
INSERT INTO SPELLS VALUES("banshee wail",4,5,"casts a anshee wail spell",0,"mage");
INSERT INTO SPELLS VALUES("weaken",4,5,"casts a eaken spell",0,"mage");
INSERT INTO SPELLS VALUES("word of recall",4,6,"casts a ord of recall spell",0,"mage");
INSERT INTO SPELLS VALUES("detect hidden",4,6,"casts a etect hidden spell",0,"mage");
INSERT INTO SPELLS VALUES("poison",5,7,"casts a oison spell",0,"mage");
INSERT INTO SPELLS VALUES("mystic might",5,7,"casts a ystic might spell",0,"mage");
INSERT INTO SPELLS VALUES("identify",5,7,"casts a dentify spell",0,"mage");
INSERT INTO SPELLS VALUES("meditation",5,7,"casts a editation spell",0,"mage");
INSERT INTO SPELLS VALUES("shocking grasp",6,8,"casts a hocking grasp spell",0,"mage");
INSERT INTO SPELLS VALUES("invisibility",6,8,"casts a nvisibility spell",0,"mage");
INSERT INTO SPELLS VALUES("sense anger",6,8,"casts a ense anger spell",0,"mage");
INSERT INTO SPELLS VALUES("blindness",6,9,"casts a lindness spell",1,"mage");
INSERT INTO SPELLS VALUES("colour spray",7,9,"casts a olour spray spell",1,"mage");
INSERT INTO SPELLS VALUES("dispel magic",7,10,"casts a ispel magic spell",1,"mage");
INSERT INTO SPELLS VALUES("ventriloquate",7,10,"casts a entriloquate spell",1,"mage");
INSERT INTO SPELLS VALUES("wither",7,10,"casts a ither spell",1,"mage");
INSERT INTO SPELLS VALUES("minor creation",8,10,"casts a inor creation spell",1,"mage");
INSERT INTO SPELLS VALUES("harden body",8,10,"casts a arden body spell",1,"mage");
INSERT INTO SPELLS VALUES("prismatic spray",8,11,"casts a rismatic spray spell",1,"mage");
INSERT INTO SPELLS VALUES("haste",8,11,"casts a aste spell",1,"mage");
INSERT INTO SPELLS VALUES("fly",9,12,"casts a ly spell",1,"mage");
INSERT INTO SPELLS VALUES("fireball",9,12,"casts a ireball spell",1,"mage");
INSERT INTO SPELLS VALUES("cancellation",10,13,"casts a ancellation spell",1,"mage");
INSERT INTO SPELLS VALUES("dodge",10,13,"casts a odge spell",1,"mage");
INSERT INTO SPELLS VALUES("magical rush",10,13,"casts a agical rush spell",1,"mage");
INSERT INTO SPELLS VALUES("vampiric touch",10,14,"casts a ampiric touch spell",1,"mage");
INSERT INTO SPELLS VALUES("charm person",11,14,"casts a harm person spell",1,"mage");
INSERT INTO SPELLS VALUES("teleport behind",11,15,"casts a eleport behind spell",1,"mage");
INSERT INTO SPELLS VALUES("absorb",12,16,"casts a bsorb spell",1,"mage");
INSERT INTO SPELLS VALUES("enchant weapon",12,16,"casts a nchant weapon spell",1,"mage");
INSERT INTO SPELLS VALUES("perception",12,17,"casts a erception spell",1,"mage");
INSERT INTO SPELLS VALUES("lightning bolt",13,17,"casts a ightning bolt spell",1,"mage");
INSERT INTO SPELLS VALUES("enchant armor",13,17,"casts a nchant armor spell",1,"mage");
INSERT INTO SPELLS VALUES("scribe",13,17,"casts a cribe spell",1,"mage");
INSERT INTO SPELLS VALUES("true seeing",13,18,"casts a rue seeing spell",2,"mage");
INSERT INTO SPELLS VALUES("flame arrow",14,19,"casts a lame arrow spell",2,"mage");
INSERT INTO SPELLS VALUES("locate object",14,19,"casts a ocate object spell",2,"mage");
INSERT INTO SPELLS VALUES("stone skin",15,20,"casts a tone skin spell",2,"mage");
INSERT INTO SPELLS VALUES("acid blast",15,20,"casts a cid blast spell",2,"mage");
INSERT INTO SPELLS VALUES("fire",15,21,"casts a ire spell",2,"mage");
INSERT INTO SPELLS VALUES("teleport",16,21,"casts a eleport spell",2,"mage");
INSERT INTO SPELLS VALUES("cone of cold",17,23,"casts a one of cold spell",2,"mage");
INSERT INTO SPELLS VALUES("gate",17,23,"casts a ate spell",2,"mage");
INSERT INTO SPELLS VALUES("flaming sphere",19,25,"casts a laming sphere spell",2,"mage");
INSERT INTO SPELLS VALUES("major creation",19,26,"casts a ajor creation spell",2,"mage");
INSERT INTO SPELLS VALUES("conjure elemental",20,26,"casts a onjure elemental spell",2,"mage");
INSERT INTO SPELLS VALUES("talon",20,27,"casts a alon spell",3,"mage");
INSERT INTO SPELLS VALUES("sustenance",21,28,"casts a ustenance spell",3,"mage");
INSERT INTO SPELLS VALUES("portal",22,30,"casts a ortal spell",3,"mage");
INSERT INTO SPELLS VALUES("frost breath",23,30,"casts a rost breath spell",3,"mage");
INSERT INTO SPELLS VALUES("force bolt",23,31,"casts a orce bolt spell",3,"mage");
INSERT INTO SPELLS VALUES("wraith form",24,32,"casts a raith form spell",3,"mage");
INSERT INTO SPELLS VALUES("mist form",25,33,"casts a mist form spell",3,"mage");
INSERT INTO SPELLS VALUES("shard of ice",25,34,"casts a shard of ice spell",3,"mage");
INSERT INTO SPELLS VALUES("warmth",26,35,"casts a warmth spell",3,"mage");
INSERT INTO SPELLS VALUES("fire breath",26,35,"casts a fire breath spell",3,"mage");
INSERT INTO SPELLS VALUES("web",27,37,"casts a web spell",4,"mage");
INSERT INTO SPELLS VALUES("lightning breath",28,37,"casts a lightning breath spell",4,"mage");
INSERT INTO SPELLS VALUES("antimagic shell",28,38,"casts a antimagic shell spell",4,"mage");
INSERT INTO SPELLS VALUES("acidproof",29,39,"casts a acidproof spell",4,"mage");
INSERT INTO SPELLS VALUES("scorch",29,39,"casts a scorch spell",4,"mage");
INSERT INTO SPELLS VALUES("knock",30,40,"casts a knock spell",4,"mage");
INSERT INTO SPELLS VALUES("awakening",31,41,"casts a awakening spell",4,"mage");
INSERT INTO SPELLS VALUES("acid breath",31,42,"casts a acid breath spell",4,"mage");
INSERT INTO SPELLS VALUES("shockproof",31,42,"casts a shockproof spell",4,"mage");
INSERT INTO SPELLS VALUES("translocate",32,43,"casts a translocate spell",4,"mage");
INSERT INTO SPELLS VALUES("holy mirror",32,43,"casts a holy mirror spell",4,"mage");
INSERT INTO SPELLS VALUES("solidify",33,44,"casts a solidify spell",4,"mage");
INSERT INTO SPELLS VALUES("disrupt",34,45,"casts a disrupt spell",5,"mage");
INSERT INTO SPELLS VALUES("balefire",34,45,"casts a balefire spell",5,"mage");
INSERT INTO SPELLS VALUES("lightspeed",35,46,"casts a lightspeed spell",5,"mage");
INSERT INTO SPELLS VALUES("grey aura",35,47,"casts a grey aura spell",5,"mage");
INSERT INTO SPELLS VALUES("nova",36,48,"casts a nova spell",5,"mage");
INSERT INTO SPELLS VALUES("scry",36,49,"casts a scry spell",5,"mage");
INSERT INTO SPELLS VALUES("wayfind",38,50,"casts a wayfind spell",5,"mage");
INSERT INTO SPELLS VALUES("lightning strike",39,52,"casts a lightning strike spell",5,"mage");
INSERT INTO SPELLS VALUES("miasma",41,55,"casts a miasma spell",6,"mage");
INSERT INTO SPELLS VALUES("camp",42,56,"casts a camp spell",6,"mage");
INSERT INTO SPELLS VALUES("gas breath",43,58,"casts a gas breath spell",6,"mage");
INSERT INTO SPELLS VALUES("globe of invulnerability",44,59,"casts a globe of invulnerability spell",6,"mage");
INSERT INTO SPELLS VALUES("acid stream",46,61,"casts a acid stream spell",6,"mage");
INSERT INTO SPELLS VALUES("banishment",47,62,"casts a banishment spell",6,"mage");
INSERT INTO SPELLS VALUES("immolate",47,63,"casts a immolate spell",7,"mage");
INSERT INTO SPELLS VALUES("chaos portal",48,64,"casts a chaos portal spell",7,"mage");
INSERT INTO SPELLS VALUES("sanctuary",50,67,"casts a sanctuary spell",7,"mage");
INSERT INTO SPELLS VALUES("summon",50,67,"casts a summon spell",7,"mage");
INSERT INTO SPELLS VALUES("locate animal",50,67,"casts a locate animal spell",7,"mage");
INSERT INTO SPELLS VALUES("enhanced damage",50,67,"casts a enhanced damage spell",7,"mage");
INSERT INTO SPELLS VALUES("second attack",50,67,"casts a second attack spell",7,"mage");
INSERT INTO SPELLS VALUES("third attack",50,67,"casts a third attack spell",7,"mage");
INSERT INTO SPELLS VALUES("dual wield",50,67,"casts a dual wield spell",7,"mage");
INSERT INTO SPELLS VALUES("locate corpse",50,67,"casts a locate corpse spell",7,"mage");
